Symbol,marketCap,trailingPE,forwardPE,pegRatio,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
AAPL,4.755140134086688,-0.06390070477672571,0.9183291324524682,0.22168845572274384,0.5025479063374974,-0.20179869813892534,-0.29948696073499387,-0.10085383845404355,-0.4691905389575107,0.7557005971943942,-0.9589541473011127,-0.5869710284221856,3.0470306920073895,0.5330311291026661,0.7276303573171378
ABBV,-0.05018175155265917,0.575351694196672,-0.5263094045334935,0.20248356495842873,0.4641458210639235,-0.4052088271701764,-0.07404882182391968,-0.10086159763883584,1.1886377433962858,-1.0917116781786835,1.2125530536584008,-0.30422052429899127,-0.3731078808793686,0.3148211803757793,-0.40306640664178517
ABT,-0.25177435360712686,0.07856696519627254,0.30731786715995757,0.3529218759455635,-0.20850530083032592,-0.4151151646229971,-0.39122967984195456,-0.1004049362133458,0.03696772128328271,-0.6350479696594957,-0.44418268549327167,-0.71482768316823,-0.3760540120985219,0.00600028433001452,-0.18528341319122732
ACN,-0.23895997857751228,-0.0926603509661772,0.6114764514486197,0.4969585566779267,-0.15930652947564783,0.10067480542053228,-0.023336766036152496,-0.09986993785265158,-0.17718787336753616,0.5092059818005145,-0.5980224327002126,-0.17234759418719775,-0.5580187537815835,-0.3529208331274839,-0.4124580671403321
ADBE,-0.1877798461498254,0.5052743478368835,0.6973670794258839,0.08405340524515234,-0.0048263037773132915,0.06303072309981372,0.3109017834741314,-0.10010127460718699,-0.6207233940424549,0.7453218765462308,-1.3198858619020126,0.5882147348622786,-0.4878775390678546,1.1829640795259773,0.5631653734685671
AIG,-0.5035882735446192,-0.5917333383791217,-0.9659877329771394,-0.19441751083741637,-0.28426478330785043,-0.1852881357175576,-0.26444954037253654,-0.09931695462654479,-0.40230498660711733,0.11221991700826604,0.18892704339683158,0.7939146810823,-0.4651043500291082,-0.673875376546403,-0.4793828919528125
AMD,-0.13904275935066782,5.9190626748973845,1.1109203050176346,-0.008770233449037252,-0.217331166699322,-0.5815416338303843,-0.37417198834970555,-0.10008573054493755,-0.6207233940424549,1.6871907753670554,-1.3908888221513702,1.0510298798617366,3.207979620347028,1.1350166020030288,-0.8557148626386829
AMGN,-0.2845761938536081,0.44072598190426576,-0.3855393561400189,0.32411453979909094,0.4027953695177186,-0.16481503831506156,0.34132901694679174,-0.10073757914548373,0.6320360868935911,-1.0112765931554175,0.3664344440202252,-0.013488392255157399,-0.5460649734589041,0.538315136829685,-0.27542856396074517
AMT,-0.44111532286703536,0.33480410923453674,0.9700615965025172,-0.018372678831194804,0.13928900756356294,-0.33520404250357705,-0.30778529713662844,-0.10075540985490704,0.5021217925082604,-0.806296860354191,-0.05958331747591921,-0.7915760342175042,-0.5647848211120217,1.462037969108525,0.1443120312998225
AMZN,3.0904062312554186,0.6785757134770399,1.7632485013638164,-0.11439713265277018,-0.11855299063322736,-0.39067953223937274,-0.3663346706370506,-0.1004430127426907,-0.6207233940424549,0.4547176983976565,-1.3908888221513702,1.679950803967676,1.8441083713713855,-0.2613313658591582,-0.7459729399627482
